==PROF== Connected to process 576 (/content/drive/My Drive/G-DBSCAN/a.out)
Compute degrees elapsed time               : 3.803 (sec)
Exclusive scan elapsed time               : 0.001 (sec)
Compute adj list elapsed time               : 1099.988 (sec)
BFS elapsed time               : 0.135 (sec)
==PROF== Disconnected from process 576
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description"
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","DRAM Frequency","cycle/second","877,578,899.34",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","SM Frequency","cycle/second","1,312,614,497.86",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","Elapsed Cycles","cycle","6,067,319,813",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","Memory [%]","%","13.36",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","SOL DRAM","%","0.00",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","Duration","nsecond","4,621,990,400",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","SOL L1/TEX Cache","%","16.40",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","SOL L2 Cache","%","0.10",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","SM Active Cycles","cycle","4,942,873,762.55",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","GPU Speed Of Light","SM [%]","%","69.83",
"0","576","a.out","127.0.0.1","compute_adjacency_list(float*, int, int, int*, int*, int*, float)","2021-Jul-04 13:26:30","1","7","SpeedOfLight","","","","SOLBottleneck","WRN","Compute is more heavily utilized than Memory: Look at the Compute Workload Analysis report section to see what the compute pipelines are spending their time doing. Also, consider whether any computation is redundant and could be reduced or moved to look-up tables."
